   Altitude   |     Temperature      |     Pressure       |      Density
-------+------+-------+------+-------+---------+----------+----------+----------
  Z (m)| H (m)| T (K) | t (C)|T_M (K)| P (Pa)  |  P/P_0   rho (kg/m^3) rho/rho_0
-------+------+-------+------+-------+---------+----------+----------+----------
  20500  20434  217.08 -56.07  217.08 5.1130e+3 5.0461e-02 8.2051e-02 6.6981e-02
  21000  20931  217.58 -55.57  217.58 4.7289e+3 4.6671e-02 7.5715e-02 6.1808e-02
  21500  21428  218.08 -55.07  218.08 4.3746e+3 4.3174e-02 6.9881e-02 5.7046e-02
  22000  21924  218.57 -54.58  218.57 4.0475e+3 3.9946e-02 6.4510e-02 5.2661e-02
  22500  22421  219.07 -54.08  219.07 3.7456e+3 3.6966e-02 5.9563e-02 4.8623e-02
  23000  22917  219.57 -53.58  219.57 3.4669e+3 3.4215e-02 5.5006e-02 4.4903e-02
  23500  23413  220.06 -53.09  220.06 3.2095e+3 3.1675e-02 5.0807e-02 4.1475e-02
  24000  23910  220.56 -52.59  220.56 2.9717e+3 2.9329e-02 4.6938e-02 3.8317e-02
  24500  24406  221.06 -52.09  221.06 2.7521e+3 2.7161e-02 4.3372e-02 3.5405e-02

  25000  24902  221.55 -51.60  221.55 2.5492e+3 2.5159e-02 4.0084e-02 3.2722e-02
  25500  25398  222.05 -51.10  222.05 2.3617e+3 2.3308e-02 3.7052e-02 3.0247e-02
  26000  25894  222.54 -50.61  222.54 2.1884e+3 2.1598e-02 3.4257e-02 2.7965e-02
  26500  26390  223.04 -50.11  223.04 2.0281e+3 2.0016e-02 3.1678e-02 2.5859e-02
  27000  26886  223.54 -49.61  223.54 1.8800e+3 1.8554e-02 2.9298e-02 2.3917e-02
  27500  27382  224.03 -49.12  224.03 1.7429e+3 1.7202e-02 2.7103e-02 2.2125e-02
  28000  27877  224.53 -48.62  224.53 1.6162e+3 1.5951e-02 2.5076e-02 2.0470e-02
  28500  28373  225.02 -48.13  225.02 1.4989e+3 1.4793e-02 2.3206e-02 1.8943e-02
  29000  28868  225.52 -47.63  225.52 1.3904e+3 1.3722e-02 2.1478e-02 1.7533e-02
  29500  29364  226.01 -47.14  226.01 1.2900e+3 1.2731e-02 1.9883e-02 1.6231e-02

  30000  29859  226.51 -46.64  226.51 1.1970e+3 1.1814e-02 1.8410e-02 1.5029e-02
  30500  30354  227.00 -46.15  227.00 1.1110e+3 1.0964e-02 1.7049e-02 1.3918e-02
  31000  30850  227.50 -45.65  227.50 1.0313e+3 1.0178e-02 1.5792e-02 1.2891e-02
  31500  31345  227.99 -45.16  227.99 9.5744e+2 9.4492e-03 1.4629e-02 1.1942e-02
  32000  31840  228.49 -44.66  228.49 8.8906e+2 8.7744e-03 1.3555e-02 1.1065e-02
  32500  32335  229.59 -43.56  229.59 8.2576e+2 8.1497e-03 1.2530e-02 1.0228e-02
  33000  32830  230.97 -42.18  230.97 7.6731e+2 7.5728e-03 1.1573e-02 9.4474e-03
  33500  33324  232.36 -40.79  232.36 7.1331e+2 7.0399e-03 1.0694e-02 8.7302e-03
  34000  33819  233.74 -39.41  233.74 6.6341e+2 6.5474e-03 9.8874e-03 8.0714e-03
  34500  34314  235.13 -38.02  235.13 6.1727e+2 6.0920e-03 9.1456e-03 7.4658e-03

