              |Accel. |Pressure|          |Part- |          |  Mean   |
   Altitude   |due to | scale  | Number   | icle |Collision |  free   |Molecular
              |gravity| height | density  |speed |frequency |  path   | weight
-------+------+-------+--------+----------+------+----------+---------+---------
   Z   |   H  |   g   |  H_P   |    n     |  V   |    nu    |    L    |    M
  (m)  |  (m) |(m/s^2)|  (m)   | (1/m^3)  |(m/s) |   (1/s)  |   (m)   |(kg/kmol)
-------+------+-------+--------+----------+------+----------+---------+---------
  22000  21924  9.7391    6442  1.3413e+24  399.7 3.1733e+08 1.2596e-6  28.964
  22500  22421  9.7376    6458  1.2384e+24  400.2 2.9333e+08 1.3642e-6  28.964
  23000  22917  9.7361    6474  1.1437e+24  400.6 2.7119e+08 1.4772e-6  28.964
  23500  23413  9.7345    6489  1.0564e+24  401.1 2.5078e+08 1.5993e-6  28.964
  24000  23910  9.7330    6505  9.7591e+23  401.5 2.3194e+08 1.7312e-6  28.964
  24500  24406  9.7315    6521  9.0177e+23  402.0 2.1456e+08 1.8735e-6  28.964

  25000  24902  9.7300    6536  8.3341e+23  402.4 1.9852e+08 2.0272e-6  28.964
  25500  25398  9.7284    6552  7.7038e+23  402.9 1.8371e+08 2.1930e-6  28.964
  26000  25894  9.7269    6568  7.1225e+23  403.3 1.7004e+08 2.3720e-6  28.964
  26500  26390  9.7254    6583  6.5863e+23  403.8 1.5741e+08 2.5651e-6  28.964
  27000  26886  9.7239    6599  6.0916e+23  404.2 1.4575e+08 2.7734e-6  28.964
  27500  27382  9.7223    6615  5.6351e+23  404.7 1.3498e+08 2.9981e-6  28.964
  28000  27877  9.7208    6630  5.2138e+23  405.1 1.2502e+08 3.2404e-6  28.964
  28500  28373  9.7193    6646  4.8248e+23  405.6 1.1582e+08 3.5016e-6  28.964
  29000  28868  9.7178    6662  4.4657e+23  406.0 1.0732e+08 3.7832e-6  28.964
  29500  29364  9.7163    6677  4.1341e+23  406.5 9.9460e+07 4.0867e-6  28.964

  30000  29859  9.7147    6693  3.8278e+23  406.9 9.2191e+07 4.4137e-6  28.964
  30500  30354  9.7132    6709  3.5448e+23  407.4 8.5469e+07 4.7660e-6  28.964
  31000  30850  9.7117    6724  3.2833e+23  407.8 7.9251e+07 5.1456e-6  28.964
