              |Speed |         |         |Coef. of
   Altitude   |  of  | Dynamic |Kinematic|thermal
              |sound |viscosity|viscosity|conduct.
-------+------+------+---------+---------+---------
   Z   |   H  | C_s  |   mu    |   eta   |   k_t
  (m)  |  (m) |(m/s) |(Ns/m^2) | (m^2/s) |(W/m 1/K)
-------+------+------+---------+---------+---------
  32000  31840 303.02 1.4859e-5 1.0962e-3 2.0496e-2
  32500  32335 303.75 1.4918e-5 1.1906e-3 2.0588e-2
  33000  32830 304.67 1.4992e-5 1.2955e-3 2.0703e-2
  33500  33324 305.58 1.5066e-5 1.4088e-3 2.0818e-2
  34000  33819 306.49 1.5140e-5 1.5312e-3 2.0933e-2
  34500  34314 307.40 1.5214e-5 1.6635e-3 2.1048e-2

  35000  34808 308.30 1.5287e-5 1.8062e-3 2.1162e-2
  35500  35303 309.20 1.5360e-5 1.9603e-3 2.1277e-2
  36000  35797 310.10 1.5433e-5 2.1264e-3 2.1391e-2
  36500  36292 310.99 1.5506e-5 2.3054e-3 2.1505e-2
  37000  36786 311.89 1.5578e-5 2.4983e-3 2.1619e-2
  37500  37280 312.78 1.5651e-5 2.7061e-3 2.1733e-2
  38000  37774 313.67 1.5723e-5 2.9298e-3 2.1846e-2
  38500  38268 314.55 1.5795e-5 3.1704e-3 2.1959e-2
  39000  38762 315.43 1.5866e-5 3.4293e-3 2.2073e-2
  39500  39256 316.31 1.5938e-5 3.7076e-3 2.2186e-2

  40000  39750 317.19 1.6009e-5 4.0067e-3 2.2299e-2
  40500  40244 318.06 1.6080e-5 4.3279e-3 2.2411e-2
  41000  40737 318.94 1.6151e-5 4.6729e-3 2.2524e-2
  41500  41231 319.81 1.6222e-5 5.0432e-3 2.2636e-2
  42000  41724 320.67 1.6293e-5 5.4404e-3 2.2748e-2
  42500  42218 321.54 1.6363e-5 5.8665e-3 2.2860e-2
  43000  42711 322.40 1.6433e-5 6.3233e-3 2.2972e-2
  43500  43204 323.26 1.6504e-5 6.8127e-3 2.3084e-2
  44000  43698 324.12 1.6573e-5 7.3371e-3 2.3195e-2
  44500  44191 324.97 1.6643e-5 7.8986e-3 2.3307e-2

  45000  44684 325.82 1.6713e-5 8.4996e-3 2.3418e-2
  45500  45177 326.67 1.6782e-5 9.1427e-3 2.3529e-2
  46000  45670 327.52 1.6851e-5 9.8305e-3 2.3640e-2
  46500  46162 328.37 1.6920e-5 1.0566e-2 2.3751e-2
  47000  46655 329.21 1.6989e-5 1.1352e-2 2.3861e-2
  47500  47148 329.80 1.7037e-5 1.2159e-2 2.3938e-2
  48000  47640 329.80 1.7037e-5 1.2939e-2 2.3938e-2
  48500  48133 329.80 1.7037e-5 1.3769e-2 2.3938e-2
  49000  48625 329.80 1.7037e-5 1.4652e-2 2.3938e-2
  49500  49118 329.80 1.7037e-5 1.5591e-2 2.3938e-2

  50000  49610 329.80 1.7037e-5 1.6591e-2 2.3938e-2
  50500  50102 329.80 1.7037e-5 1.7654e-2 2.3938e-2
  51000  50594 329.80 1.7037e-5 1.8786e-2 2.3938e-2
  51500  51086 329.65 1.7025e-5 1.9958e-2 2.3919e-2
  52000  51578 328.81 1.6956e-5 2.1047e-2 2.3809e-2
  52500  52070 327.97 1.6887e-5 2.2203e-2 2.3698e-2
  53000  52562 327.12 1.6819e-5 2.3427e-2 2.3588e-2
  53500  53053 326.28 1.6750e-5 2.4726e-2 2.3477e-2
  54000  53545 325.43 1.6680e-5 2.6104e-2 2.3366e-2
  54500  54037 324.58 1.6611e-5 2.7565e-2 2.3255e-2

  55000  54528 323.72 1.6541e-5 2.9117e-2 2.3144e-2
  55500  55020 322.87 1.6472e-5 3.0765e-2 2.3033e-2
  56000  55511 322.01 1.6402e-5 3.2514e-2 2.2922e-2
  56500  56002 321.15 1.6332e-5 3.4373e-2 2.2810e-2
  57000  56493 320.29 1.6262e-5 3.6349e-2 2.2699e-2
  57500  56985 319.43 1.6191e-5 3.8449e-2 2.2587e-2
  58000  57476 318.56 1.6121e-5 4.0682e-2 2.2475e-2
  58500  57967 317.69 1.6050e-5 4.3058e-2 2.2363e-2
  59000  58457 316.82 1.5979e-5 4.5585e-2 2.2251e-2
  59500  58948 315.95 1.5908e-5 4.8276e-2 2.2139e-2

  60000  59439 315.07 1.5837e-5 5.1141e-2 2.2027e-2
  60500  59930 314.20 1.5766e-5 5.4192e-2 2.1914e-2
  61000  60420 313.32 1.5694e-5 5.7444e-2 2.1801e-2
  61500  60911 312.43 1.5623e-5 6.0909e-2 2.1689e-2
  62000  61401 311.55 1.5551e-5 6.4604e-2 2.1576e-2
  62500  61891 310.66 1.5479e-5 6.8545e-2 2.1463e-2
  63000  62382 309.77 1.5407e-5 7.2750e-2 2.1350e-2
  63500  62872 308.88 1.5334e-5 7.7238e-2 2.1236e-2
  64000  63362 307.99 1.5262e-5 8.2030e-2 2.1123e-2
  64500  63852 307.09 1.5189e-5 8.7148e-2 2.1009e-2

  65000  64342 306.19 1.5116e-5 9.2617e-2 2.0896e-2
  65500  64832 305.29 1.5043e-5 9.8463e-2 2.0782e-2
