   Altitude   |                     Number density (1/m^3)
-------+------+----------+----------+----------+----------+----------+----------
 Z (m) | H (m)|    N2    |    O     |    O2    |    Ar    |   He     |    H
-------+------+----------+----------+----------+----------+----------+----------
 110000 108129 1.6411e+18 2.3028e+17 2.6206e+17 1.0462e+16 5.8224e+13 0.0000e+00
 110500 108612 1.4993e+18 2.1893e+17 2.3451e+17 9.2519e+15 5.6695e+13 0.0000e+00
 111000 109095 1.3727e+18 2.0831e+17 2.1040e+17 8.1987e+15 5.5279e+13 0.0000e+00
 111500 109578 1.2595e+18 1.9834e+17 1.8924e+17 7.2807e+15 5.3960e+13 0.0000e+00
 112000 110061 1.1579e+18 1.8898e+17 1.7063e+17 6.4797e+15 5.2724e+13 0.0000e+00
 112500 110544 1.0665e+18 1.8015e+17 1.5424e+17 5.7799e+15 5.1558e+13 0.0000e+00
 113000 111026 9.8407e+17 1.7182e+17 1.3976e+17 5.1680e+15 5.0453e+13 0.0000e+00
 113500 111509 9.0962e+17 1.6395e+17 1.2694e+17 4.6323e+15 4.9399e+13 0.0000e+00
 114000 111992 8.4220e+17 1.5650e+17 1.1557e+17 4.1624e+15 4.8390e+13 0.0000e+00
 114500 112474 7.8103e+17 1.4945e+17 1.0547e+17 3.7494e+15 4.7423e+13 0.0000e+00

 115000 112957 7.2541e+17 1.4278e+17 9.6455e+16 3.3854e+15 4.6494e+13 0.0000e+00
 115500 113439 6.7475e+17 1.3646e+17 8.8405e+16 3.0638e+15 4.5600e+13 0.0000e+00
 116000 113921 6.2851e+17 1.3048e+17 8.1196e+16 2.7788e+15 4.4741e+13 0.0000e+00
 116500 114403 5.8623e+17 1.2481e+17 7.4725e+16 2.5258e+15 4.3914e+13 0.0000e+00
 117000 114885 5.4752e+17 1.1946e+17 6.8903e+16 2.3005e+15 4.3118e+13 0.0000e+00
 117500 115368 5.1201e+17 1.1438e+17 6.3655e+16 2.0995e+15 4.2350e+13 0.0000e+00
 118000 115849 4.7938e+17 1.0958e+17 5.8912e+16 1.9197e+15 4.1609e+13 0.0000e+00
 118500 116331 4.4936e+17 1.0503e+17 5.4617e+16 1.7586e+15 4.0894e+13 0.0000e+00
 119000 116813 4.2170e+17 1.0072e+17 5.0720e+16 1.6138e+15 4.0204e+13 0.0000e+00
 119500 117295 3.9617e+17 9.6633e+16 4.7176e+16 1.4835e+15 3.9536e+13 0.0000e+00

 120000 117777 3.7258e+17 9.2762e+16 4.3947e+16 1.3659e+15 3.8891e+13 0.0000e+00
 120500 118258 3.5078e+17 8.9099e+16 4.1003e+16 1.2597e+15 3.8269e+13 0.0000e+00
 121000 118740 3.3063e+17 8.5637e+16 3.8316e+16 1.1638e+15 3.7670e+13 0.0000e+00
 121500 119221 3.1198e+17 8.2363e+16 3.5857e+16 1.0768e+15 3.7092e+13 0.0000e+00
 122000 119703 2.9468e+17 7.9264e+16 3.3603e+16 9.9780e+14 3.6536e+13 0.0000e+00
 122500 120184 2.7862e+17 7.6329e+16 3.1533e+16 9.2595e+14 3.5999e+13 0.0000e+00
 123000 120665 2.6369e+17 7.3548e+16 2.9628e+16 8.6045e+14 3.5480e+13 0.0000e+00
 123500 121146 2.4980e+17 7.0910e+16 2.7872e+16 8.0063e+14 3.4980e+13 0.0000e+00
 124000 121627 2.3684e+17 6.8406e+16 2.6250e+16 7.4591e+14 3.4495e+13 0.0000e+00
 124500 122108 2.2475e+17 6.6027e+16 2.4749e+16 6.9576e+14 3.4027e+13 0.0000e+00

 125000 122589 2.1346e+17 6.3767e+16 2.3359e+16 6.4973e+14 3.3574e+13 0.0000e+00
 125500 123070 2.0289e+17 6.1617e+16 2.2068e+16 6.0741e+14 3.3135e+13 0.0000e+00
 126000 123551 1.9300e+17 5.9571e+16 2.0869e+16 5.6844e+14 3.2709e+13 0.0000e+00
 126500 124032 1.8373e+17 5.7622e+16 1.9753e+16 5.3252e+14 3.2297e+13 0.0000e+00
 127000 124512 1.7502e+17 5.5765e+16 1.8712e+16 4.9934e+14 3.1897e+13 0.0000e+00
 127500 124993 1.6685e+17 5.3993e+16 1.7741e+16 4.6867e+14 3.1508e+13 0.0000e+00
